Timestamp,hour,Temperature,Humidity,Demand
01-Jan-20,00:00,16.4,67.0,3477.8
01-Jan-20,01:00,15.4,71.1,3232.0
01-Jan-20,02:00,18.0,66.7,3332.0
01-Jan-20,03:00,16.3,66.7,3311.3
01-Jan-20,04:00,17.6,65.6,3516.6
01-Jan-20,05:00,20.6,64.6,3492.7
01-Jan-20,06:00,22.9,62.0,3578.9
01-Jan-20,07:00,24.1,62.8,3701.8
01-Jan-20,08:00,26.4,61.6,4258.5
01-Jan-20,09:00,25.0,63.7,4480.9
01-Jan-20,10:00,28.1,62.2,4873.1
01-Jan-20,11:00,29.2,59.6,5226.1
01-Jan-20,12:00,29.0,60.9,5182.5
01-Jan-20,13:00,28.0,61.6,5301.5
01-Jan-20,14:00,26.4,59.6,5431.8
01-Jan-20,15:00,25.4,59.2,5241.9
01-Jan-20,16:00,25.4,61.8,4873.8
01-Jan-20,17:00,22.7,62.4,4704.7
01-Jan-20,18:00,22.4,65.7,4413.5
01-Jan-20,19:00,21.1,64.2,3669.6
01-Jan-20,20:00,20.5,68.2,3544.3
01-Jan-20,21:00,18.3,70.5,3501.3
01-Jan-20,22:00,16.0,66.3,3358.1
01-Jan-20,23:00,15.5,67.9,3284.2
02-Jan-20,00:00,17.1,68.7,3604.9
02-Jan-20,01:00,15.9,72.1,3356.6
02-Jan-20,02:00,16.1,67.6,3259.1
02-Jan-20,03:00,17.0,68.9,3260.7
02-Jan-20,04:00,18.7,65.7,3561.0
02-Jan-20,05:00,20.5,63.8,3463.5
02-Jan-20,06:00,20.8,65.8,3544.9
02-Jan-20,07:00,23.3,61.1,3958.9
02-Jan-20,08:00,26.5,62.8,4304.3
02-Jan-20,09:00,27.3,58.7,4858.2
02-Jan-20,10:00,27.7,61.1,4937.1
02-Jan-20,11:00,28.2,58.0,5244.8
02-Jan-20,12:00,27.9,62.9,5503.6
02-Jan-20,13:00,27.1,60.4,5469.4
02-Jan-20,14:00,28.4,63.1,5516.5
02-Jan-20,15:00,26.7,62.3,5254.9
02-Jan-20,16:00,25.8,62.8,5067.5
02-Jan-20,17:00,23.6,60.8,4487.3
02-Jan-20,18:00,20.6,67.6,4180.9
02-Jan-20,19:00,21.4,65.1,3782.8
02-Jan-20,20:00,20.1,70.1,3253.9
02-Jan-20,21:00,17.7,65.8,3315.1
02-Jan-20,22:00,17.6,66.9,3262.4
02-Jan-20,23:00,16.4,68.2,3333.2
03-Jan-20,00:00,15.8,68.1,3476.3
03-Jan-20,01:00,16.9,67.8,3367.9
